,ACC_OWNERSHIP,USG_DIGITAL_PAYMENT,ACC_MM_ACCOUNT
2025-01-01,49.256381723438956,88030958.9041096,9.597321428571428
2025-02-01,49.49722516060889,94706575.34246576,9.735714285714286
2025-03-01,49.714761168375276,100736164.38356164,9.860714285714284
2025-04-01,49.95560460554521,107411780.82191782,9.999107142857142
2025-05-01,50.18867889958062,113872054.79452056,10.133035714285713
2025-06-01,50.42952233675055,120547671.23287672,10.27142857142857
2025-07-01,50.66259663078597,127007945.20547946,10.405357142857142
2025-08-01,50.9034400679559,133683561.64383562,10.54375
2025-09-01,51.144283505125834,140359178.08219177,10.682142857142857
2025-10-01,51.377357799161246,146819452.05479452,10.816071428571428
2025-11-01,51.61820123633118,153495068.49315068,10.954464285714284
2025-12-01,51.85127553036659,159955342.46575344,11.088392857142857
2026-01-01,52.09211896753653,166630958.9041096,11.226785714285713
2026-02-01,52.33296240470646,173306575.34246576,11.36517857142857
2026-03-01,52.55049841247285,179336164.38356164,11.49017857142857
2026-04-01,52.79134184964278,186011780.8219178,11.628571428571426
2026-05-01,53.024416143678195,192472054.79452053,11.7625
2026-06-01,53.265259580848124,199147671.23287672,11.900892857142855
2026-07-01,53.49833387488354,205607945.20547944,12.034821428571426
2026-08-01,53.73917731205347,212283561.6438356,12.173214285714284
2026-09-01,53.9800207492234,218959178.08219177,12.311607142857142
2026-10-01,54.21309504325882,225419452.0547945,12.445535714285713
2026-11-01,54.45393848042875,232095068.49315065,12.58392857142857
2026-12-01,54.687012774464165,238555342.4657534,12.717857142857142
2027-01-01,54.927856211634094,245230958.90410957,12.85625
2027-02-01,55.16869964880402,251906575.34246573,12.994642857142855
2027-03-01,55.38623565657041,257936164.3835616,13.119642857142855
2027-04-01,55.62707909374034,264611780.82191777,13.258035714285713
2027-05-01,55.86015338777576,271072054.7945205,13.391964285714284
2027-06-01,56.10099682494569,277747671.23287666,13.530357142857142
2027-07-01,56.33407111898111,284207945.2054794,13.664285714285713
2027-08-01,56.574914556151036,290883561.6438356,13.802678571428569
2027-09-01,56.81575799332097,297559178.08219177,13.941071428571426
2027-10-01,57.04883228735639,304019452.0547945,14.075
2027-11-01,57.28967572452632,310695068.49315065,14.213392857142855
2027-12-01,57.52275001856174,317155342.46575344,14.347321428571426
