,ACC_OWNERSHIP,USG_DIGITAL_PAYMENT,ACC_MM_ACCOUNT
2025-01-01,50.73407317514213,90671887.6712329,9.88524107142857
2025-02-01,50.98214191542716,97547772.60273974,10.027785714285715
2025-03-01,51.206204003426535,103758249.3150685,10.156535714285713
2025-04-01,51.45427274371157,110634134.24657536,10.299080357142856
2025-05-01,51.69433926656804,117288216.43835618,10.437026785714284
2025-06-01,51.94240800685307,124164101.36986302,10.579571428571429
2025-07-01,52.18247452970955,130818183.56164384,10.717517857142855
2025-08-01,52.43054326999458,137694068.49315068,10.8600625
2025-09-01,52.67861201027961,144569953.42465752,11.002607142857142
2025-10-01,52.91867853313608,151224035.61643836,11.14055357142857
2025-11-01,53.166747273421116,158099920.5479452,11.283098214285713
2025-12-01,53.40681379627759,164754002.73972604,11.421044642857144
2026-01-01,53.654882536562624,171629887.67123288,11.563589285714285
2026-02-01,53.90295127684765,178505772.60273972,11.706133928571427
2026-03-01,54.12701336484704,184716249.31506848,11.834883928571427
2026-04-01,54.37508210513206,191592134.24657536,11.97742857142857
2026-05-01,54.61514862798854,198246216.43835616,12.115375
2026-06-01,54.86321736827357,205122101.36986303,12.257919642857141
2026-07-01,55.10328389113005,211776183.56164384,12.39586607142857
2026-08-01,55.351352631415075,218652068.49315068,12.538410714285712
2026-09-01,55.5994213717001,225527953.42465752,12.680955357142857
2026-10-01,55.839487894556584,232182035.61643833,12.818901785714285
2026-11-01,56.08755663484161,239057920.54794517,12.961446428571428
2026-12-01,56.32762315769809,245712002.739726,13.099392857142856
2027-01-01,56.57569189798312,252587887.67123285,13.241937499999999
2027-02-01,56.82376063826815,259463772.60273972,13.384482142857141
2027-03-01,57.047822726267526,265674249.31506845,13.513232142857142
2027-04-01,57.295891466552554,272550134.2465753,13.655776785714284
2027-05-01,57.535957989409034,279204216.4383561,13.793723214285713
2027-06-01,57.78402672969406,286080101.369863,13.936267857142857
2027-07-01,58.02409325255054,292734183.5616438,14.074214285714284
2027-08-01,58.27216199283557,299610068.49315065,14.216758928571426
2027-09-01,58.520230733120606,306485953.4246575,14.359303571428569
2027-10-01,58.760297255977086,313140035.6164383,14.49725
2027-11-01,59.00836599626211,320015920.5479452,14.639794642857142
2027-12-01,59.24843251911859,326670002.73972607,14.777741071428569
