,ACC_OWNERSHIP,USG_DIGITAL_PAYMENT,ACC_MM_ACCOUNT
2025-01-01,47.77869027173578,85390030.1369863,9.309401785714286
2025-02-01,48.01230840579063,91865378.08219178,9.443642857142857
2025-03-01,48.223318333324016,97714079.45205478,9.564892857142855
2025-04-01,48.45693646737885,104189427.39726028,9.699133928571428
2025-05-01,48.6830185325932,110455893.15068494,9.829044642857141
2025-06-01,48.91663666664803,116931241.09589042,9.963285714285712
2025-07-01,49.14271873186239,123197706.84931508,10.093196428571428
2025-08-01,49.37633686591722,129673054.79452054,10.227437499999999
2025-09-01,49.60995499997206,136148402.739726,10.361678571428572
2025-10-01,49.83603706518641,142414868.49315068,10.491589285714285
2025-11-01,50.06965519924125,148890216.43835616,10.625830357142855
2025-12-01,50.295737264455596,155156682.19178084,10.75574107142857
2026-01-01,50.52935539851043,161632030.13698632,10.889982142857141
2026-02-01,50.76297353256526,168107378.0821918,11.024223214285714
2026-03-01,50.97398346009866,173956079.4520548,11.145473214285714
2026-04-01,51.207601594153495,180431427.39726025,11.279714285714283
2026-05-01,51.43368365936785,186697893.1506849,11.409624999999998
2026-06-01,51.66730179342268,193173241.0958904,11.54386607142857
2026-07-01,51.89338385863704,199439706.84931505,11.673776785714283
2026-08-01,52.127001992691866,205915054.79452053,11.808017857142856
2026-09-01,52.360620126746696,212390402.739726,11.942258928571427
2026-10-01,52.58670219196105,218656868.49315065,12.07216964285714
2026-11-01,52.82032032601588,225132216.43835613,12.206410714285713
2026-12-01,53.04640239123024,231398682.1917808,12.336321428571427
2027-01-01,53.28002052528507,237874030.1369863,12.4705625
2027-02-01,53.5136386593399,244349378.08219174,12.604803571428569
2027-03-01,53.7246485868733,250198079.45205477,12.726053571428569
2027-04-01,53.95826672092813,256673427.39726022,12.860294642857141
2027-05-01,54.184348786142486,262939893.15068486,12.990205357142855
2027-06-01,54.417966920197316,269415241.09589034,13.124446428571426
2027-07-01,54.64404898541167,275681706.849315,13.254357142857142
2027-08-01,54.8776671194665,282157054.79452056,13.388598214285711
2027-09-01,55.11128525352134,288632402.739726,13.522839285714284
2027-10-01,55.337367318735694,294898868.49315065,13.65275
2027-11-01,55.57098545279053,301374216.4383561,13.786991071428568
2027-12-01,55.79706751800489,307640682.1917808,13.916901785714284
